@relation pacman-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S5.0-C3-L5-weka.filters.unsupervised.instance.RemoveWithValues-S5.0-C12-L5

@attribute Px numeric
@attribute Py numeric
@attribute PDir {North,South,East,West,Stop}
@attribute DistanceToGhost1 numeric
@attribute DistanceToGhost2 numeric
@attribute DistanceToGhost3 numeric
@attribute DistanceToGhost4 numeric
@attribute North {0,1}
@attribute South {0,1}
@attribute West {0,1}
@attribute East {0,1}
@attribute Action {North,South,East,West,Stop}

@data
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
15,3,East,17,14,13,14,1,0,1,1,North
15,4,North,16,13,12,13,1,1,0,0,North
15,5,North,15,12,11,12,0,1,0,1,East
16,5,East,16,13,12,11,0,0,1,1,East
17,5,East,17,14,13,10,0,0,1,1,East
18,5,East,18,15,14,11,1,0,1,0,North
18,6,North,17,14,13,10,1,1,0,0,North
18,7,North,16,13,12,9,1,1,0,0,North
18,8,North,15,12,11,8,0,1,1,1,West
17,8,West,14,11,10,7,0,0,1,1,West
16,8,West,13,10,9,8,0,0,1,1,West
15,8,West,12,9,8,9,1,0,1,1,North
15,9,North,11,8,7,8,1,1,0,0,North
15,10,North,10,7,6,7,1,1,0,0,North
15,11,North,9,6,5,6,0,1,0,1,East
16,11,East,10,7,6,5,0,0,1,1,East
17,11,East,11,8,7,4,0,0,1,1,East
18,11,East,12,9,8,5,0,0,1,1,East
19,11,East,13,10,9,6,1,0,1,1,North
19,12,North,12,9,8,5,1,1,0,0,North
19,13,North,11,8,7,4,1,1,1,0,North
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
15,3,East,17,14,13,14,1,0,1,1,North
15,4,North,16,13,12,13,1,1,0,0,North
15,5,North,15,12,11,12,0,1,0,1,East
16,5,East,16,13,12,11,0,0,1,1,East
17,5,East,17,14,13,10,0,0,1,1,East
18,5,East,18,15,14,11,1,0,1,0,North
18,6,North,17,14,13,10,1,1,0,0,North
18,7,North,16,13,12,9,1,1,0,0,North
18,8,North,15,12,11,8,0,1,1,1,West
17,8,West,14,11,10,7,0,0,1,1,West
16,8,West,13,10,9,8,0,0,1,1,West
15,8,West,12,9,8,9,1,0,1,1,North
15,9,North,11,8,7,8,1,1,0,0,North
15,10,North,10,7,6,7,1,1,0,0,North
15,11,North,9,6,5,6,0,1,0,1,East
16,11,East,10,7,6,5,0,0,1,1,East
17,11,East,11,8,7,4,0,0,1,1,East
18,11,East,12,9,8,5,0,0,1,1,East
19,11,East,13,10,9,6,1,0,1,1,North
19,12,North,12,9,8,5,1,1,0,0,North
19,13,North,11,8,7,4,1,1,1,0,North
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
15,3,East,17,14,13,14,1,0,1,1,North
15,4,North,16,13,12,13,1,1,0,0,North
15,5,North,15,12,11,12,0,1,0,1,East
16,5,East,16,13,12,11,0,0,1,1,East
17,5,East,17,14,13,10,0,0,1,1,East
18,5,East,18,15,14,11,1,0,1,0,North
18,6,North,17,14,13,10,1,1,0,0,North
18,7,North,16,13,12,9,1,1,0,0,North
18,8,North,15,12,11,8,0,1,1,1,West
17,8,West,14,11,10,7,0,0,1,1,West
16,8,West,13,10,9,8,0,0,1,1,West
15,8,West,12,9,8,9,1,0,1,1,North
15,9,North,11,8,7,8,1,1,0,0,North
15,10,North,10,7,6,7,1,1,0,0,North
15,11,North,9,6,5,6,0,1,0,1,East
16,11,East,10,7,6,5,0,0,1,1,East
17,11,East,11,8,7,4,0,0,1,1,East
18,11,East,12,9,8,5,0,0,1,1,East
19,11,East,13,10,9,6,1,0,1,1,North
19,12,North,12,9,8,5,1,1,0,0,North
19,13,North,11,8,7,4,1,1,1,0,North
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
15,3,East,17,14,13,14,1,0,1,1,North
15,4,North,16,13,12,13,1,1,0,0,North
15,5,North,15,12,11,12,0,1,0,1,East
16,5,East,16,13,12,11,0,0,1,1,East
17,5,East,17,14,13,10,0,0,1,1,East
18,5,East,18,15,14,11,1,0,1,0,North
18,6,North,17,14,13,10,1,1,0,0,North
18,7,North,16,13,12,9,1,1,0,0,North
18,8,North,15,12,11,8,0,1,1,1,West
17,8,West,14,11,10,7,0,0,1,1,West
16,8,West,13,10,9,8,0,0,1,1,West
15,8,West,12,9,8,9,1,0,1,1,North
15,9,North,11,8,7,8,1,1,0,0,North
15,10,North,10,7,6,7,1,1,0,0,North
15,11,North,9,6,5,6,0,1,0,1,East
16,11,East,10,7,6,5,0,0,1,1,East
17,11,East,11,8,7,4,0,0,1,1,East
18,11,East,12,9,8,5,0,0,1,1,East
19,11,East,13,10,9,6,1,0,1,1,North
19,12,North,12,9,8,5,1,1,0,0,North
19,13,North,11,8,7,4,1,1,1,0,North
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
15,3,East,17,14,13,14,1,0,1,1,North
15,4,North,16,13,12,13,1,1,0,0,North
15,5,North,15,12,11,12,0,1,0,1,East
16,5,East,16,13,12,11,0,0,1,1,East
17,5,East,17,14,13,10,0,0,1,1,East
18,5,East,18,15,14,11,1,0,1,0,North
18,6,North,17,14,13,10,1,1,0,0,North
18,7,North,16,13,12,9,1,1,0,0,North
18,8,North,15,12,11,8,0,1,1,1,West
17,8,West,14,11,10,7,0,0,1,1,West
16,8,West,13,10,9,8,0,0,1,1,West
15,8,West,12,9,8,9,1,0,1,1,North
15,9,North,11,8,7,8,1,1,0,0,North
15,10,North,10,7,6,7,1,1,0,0,North
15,11,North,9,6,5,6,0,1,0,1,East
16,11,East,10,7,6,5,0,0,1,1,East
17,11,East,11,8,7,4,0,0,1,1,East
18,11,East,12,9,8,5,0,0,1,1,East
19,11,East,13,10,9,6,1,0,1,1,North
19,12,North,12,9,8,5,1,1,0,0,North
19,13,North,11,8,7,4,1,1,1,0,North
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
15,3,East,17,14,13,14,1,0,1,1,North
15,4,North,16,13,12,13,1,1,0,0,North
15,5,North,15,12,11,12,0,1,0,1,East
16,5,East,16,13,12,11,0,0,1,1,East
17,5,East,17,14,13,10,0,0,1,1,East
18,5,East,18,15,14,11,1,0,1,0,North
18,6,North,17,14,13,10,1,1,0,0,North
18,7,North,16,13,12,9,1,1,0,0,North
18,8,North,15,12,11,8,0,1,1,1,West
17,8,West,14,11,10,7,0,0,1,1,West
16,8,West,13,10,9,8,0,0,1,1,West
15,8,West,12,9,8,9,1,0,1,1,North
15,9,North,11,8,7,8,1,1,0,0,North
15,10,North,10,7,6,7,1,1,0,0,North
15,11,North,9,6,5,6,0,1,0,1,East
16,11,East,10,7,6,5,0,0,1,1,East
17,11,East,11,8,7,4,0,0,1,1,East
18,11,East,12,9,8,5,0,0,1,1,East
19,11,East,13,10,9,6,1,0,1,1,North
19,12,North,12,9,8,5,1,1,0,0,North
19,13,North,11,8,7,4,1,1,1,0,North
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
15,3,East,17,14,13,14,1,0,1,1,North
15,4,North,16,13,12,13,1,1,0,0,North
15,5,North,15,12,11,12,0,1,0,1,East
16,5,East,16,13,12,11,0,0,1,1,East
17,5,East,17,14,13,10,0,0,1,1,East
18,5,East,18,15,14,11,1,0,1,0,North
18,6,North,17,14,13,10,1,1,0,0,North
18,7,North,16,13,12,9,1,1,0,0,North
18,8,North,15,12,11,8,0,1,1,1,West
17,8,West,14,11,10,7,0,0,1,1,West
16,8,West,13,10,9,8,0,0,1,1,West
15,8,West,12,9,8,9,1,0,1,1,North
15,9,North,11,8,7,8,1,1,0,0,North
15,10,North,10,7,6,7,1,1,0,0,North
15,11,North,9,6,5,6,0,1,0,1,East
16,11,East,10,7,6,5,0,0,1,1,East
17,11,East,11,8,7,4,0,0,1,1,East
18,11,East,12,9,8,5,0,0,1,1,East
19,11,East,13,10,9,6,1,0,1,1,North
19,12,North,12,9,8,5,1,1,0,0,North
19,13,North,11,8,7,4,1,1,1,0,North
19,14,North,10,7,6,3,1,1,0,0,North
19,15,North,9,6,5,2,1,1,0,1,North
19,16,North,10,7,6,3,1,1,0,0,North
19,17,North,11,8,7,4,0,1,1,0,West
18,17,West,10,7,6,3,0,0,1,1,West
17,17,West,9,6,5,2,0,0,1,1,West
16,17,West,8,5,4,3,0,0,1,1,West
15,17,West,7,4,3,4,1,0,1,1,West
14,17,West,6,3,2,5,0,1,1,1,South
14,16,South,5,2,1,4,1,1,1,0,South
14,15,South,4,1,-1,3,1,0,1,1,West
13,15,West,3,-1,-1,4,1,0,1,1,West
12,15,West,2,-1,-1,5,0,0,1,1,West
11,15,West,1,-1,-1,6,0,0,1,1,West
10,15,West,-1,-1,-1,7,0,0,0,1,East
11,15,East,-1,-1,-1,6,0,0,1,1,East
12,15,East,-1,-1,-1,5,0,0,1,1,East
13,15,East,-1,-1,-1,4,1,0,1,1,East
14,15,East,-1,-1,-1,3,1,0,1,1,East
15,15,East,-1,-1,-1,2,0,0,1,1,East
16,15,East,-1,-1,-1,1,0,0,1,1,East
8,1,West,4,6,7,15,1,0,1,1,North
8,2,North,3,5,6,14,1,1,0,0,North
8,3,North,2,4,5,13,0,1,0,1,East
9,3,East,3,3,4,12,1,0,1,1,North
9,4,North,2,2,3,11,1,1,0,0,North
9,5,North,1,1,2,10,1,1,1,1,West
8,5,West,-1,2,3,11,0,0,1,1,West
7,5,West,-1,3,4,12,0,0,1,1,West
6,5,West,-1,4,5,13,1,1,1,1,North
6,6,North,-1,5,6,12,1,1,0,0,North
6,7,North,-1,6,7,11,0,1,0,1,East
7,7,East,-1,5,6,10,0,0,1,1,East
8,7,East,-1,4,5,9,0,0,1,1,East
9,7,East,-1,3,4,8,0,1,1,1,South
9,6,South,-1,2,3,9,1,1,0,1,South
9,5,South,-1,1,2,10,1,1,1,1,East
10,5,East,-1,-1,1,9,1,0,1,1,East
11,5,East,-1,-1,-1,8,0,0,1,0,West
10,5,West,-1,-1,-1,9,1,0,1,1,North
10,6,North,-1,-1,-1,8,1,1,1,0,North
10,7,North,-1,-1,-1,7,0,1,1,1,East
11,7,East,-1,-1,-1,6,0,0,1,1,East
12,7,East,-1,-1,-1,5,0,0,1,1,East
13,7,East,-1,-1,-1,4,0,1,1,0,South
13,6,South,-1,-1,-1,5,1,1,0,0,South
13,5,South,-1,-1,-1,6,1,1,0,1,East
14,5,East,-1,-1,-1,5,0,0,1,1,East
15,5,East,-1,-1,-1,4,1,0,1,1,North
15,6,North,-1,-1,-1,3,1,1,0,0,North
15,7,North,-1,-1,-1,2,0,1,0,1,East
16,7,East,-1,-1,-1,1,0,0,1,1,East
8,1,West,4,6,7,15,1,0,1,1,North
8,2,North,3,5,6,14,1,1,0,0,North
8,3,North,2,4,5,13,0,1,0,1,East
9,3,East,3,3,4,12,1,0,1,1,North
9,4,North,2,2,3,11,1,1,0,0,North
9,5,North,1,1,2,10,1,1,1,1,West
8,5,West,-1,2,3,11,0,0,1,1,West
7,5,West,-1,3,4,12,0,0,1,1,West
6,5,West,-1,4,5,13,1,1,1,1,North
6,6,North,-1,5,6,12,1,1,0,0,North
6,7,North,-1,6,7,11,0,1,0,1,East
7,7,East,-1,5,6,10,0,0,1,1,East
8,7,East,-1,4,5,9,0,0,1,1,East
9,7,East,-1,3,4,8,0,1,1,1,South
9,6,South,-1,2,3,9,1,1,0,1,South
9,5,South,-1,1,2,10,1,1,1,1,East
10,5,East,-1,-1,1,9,1,0,1,1,East
11,5,East,-1,-1,-1,8,0,0,1,0,West
10,5,West,-1,-1,-1,9,1,0,1,1,North
10,6,North,-1,-1,-1,8,1,1,1,0,North
10,7,North,-1,-1,-1,7,0,1,1,1,East
11,7,East,-1,-1,-1,6,0,0,1,1,East
12,7,East,-1,-1,-1,5,0,0,1,1,East
13,7,East,-1,-1,-1,4,0,1,1,0,South
13,6,South,-1,-1,-1,5,1,1,0,0,South
13,5,South,-1,-1,-1,6,1,1,0,1,East
14,5,East,-1,-1,-1,5,0,0,1,1,East
15,5,East,-1,-1,-1,4,1,0,1,1,North
15,6,North,-1,-1,-1,3,1,1,0,0,North
15,7,North,-1,-1,-1,2,0,1,0,1,East
16,7,East,-1,-1,-1,1,0,0,1,1,East
8,1,West,4,6,7,15,1,0,1,1,North
8,2,North,3,5,6,14,1,1,0,0,North
8,3,North,2,4,5,13,0,1,0,1,East
9,3,East,3,3,4,12,1,0,1,1,North
9,4,North,2,2,3,11,1,1,0,0,North
9,5,North,1,1,2,10,1,1,1,1,West
8,5,West,-1,2,3,11,0,0,1,1,West
7,5,West,-1,3,4,12,0,0,1,1,West
6,5,West,-1,4,5,13,1,1,1,1,North
6,6,North,-1,5,6,12,1,1,0,0,North
6,7,North,-1,6,7,11,0,1,0,1,East
7,7,East,-1,5,6,10,0,0,1,1,East
8,7,East,-1,4,5,9,0,0,1,1,East
9,7,East,-1,3,4,8,0,1,1,1,South
9,6,South,-1,2,3,9,1,1,0,1,South
9,5,South,-1,1,2,10,1,1,1,1,East
10,5,East,-1,-1,1,9,1,0,1,1,East
11,5,East,-1,-1,-1,8,0,0,1,0,West
10,5,West,-1,-1,-1,9,1,0,1,1,North
10,6,North,-1,-1,-1,8,1,1,1,0,North
10,7,North,-1,-1,-1,7,0,1,1,1,East
11,7,East,-1,-1,-1,6,0,0,1,1,East
12,7,East,-1,-1,-1,5,0,0,1,1,East
13,7,East,-1,-1,-1,4,0,1,1,0,South
13,6,South,-1,-1,-1,5,1,1,0,0,South
13,5,South,-1,-1,-1,6,1,1,0,1,East
14,5,East,-1,-1,-1,5,0,0,1,1,East
15,5,East,-1,-1,-1,4,1,0,1,1,North
15,6,North,-1,-1,-1,3,1,1,0,0,North
15,7,North,-1,-1,-1,2,0,1,0,1,East
16,7,East,-1,-1,-1,1,0,0,1,1,East
8,1,West,4,6,7,15,1,0,1,1,North
8,2,North,3,5,6,14,1,1,0,0,North
8,3,North,2,4,5,13,0,1,0,1,East
9,3,East,3,3,4,12,1,0,1,1,North
9,4,North,2,2,3,11,1,1,0,0,North
9,5,North,1,1,2,10,1,1,1,1,West
8,5,West,-1,2,3,11,0,0,1,1,West
7,5,West,-1,3,4,12,0,0,1,1,West
6,5,West,-1,4,5,13,1,1,1,1,North
6,6,North,-1,5,6,12,1,1,0,0,North
6,7,North,-1,6,7,11,0,1,0,1,East
7,7,East,-1,5,6,10,0,0,1,1,East
8,7,East,-1,4,5,9,0,0,1,1,East
9,7,East,-1,3,4,8,0,1,1,1,South
9,6,South,-1,2,3,9,1,1,0,1,South
9,5,South,-1,1,2,10,1,1,1,1,East
10,5,East,-1,-1,1,9,1,0,1,1,East
11,5,East,-1,-1,-1,8,0,0,1,0,West
10,5,West,-1,-1,-1,9,1,0,1,1,North
10,6,North,-1,-1,-1,8,1,1,1,0,North
10,7,North,-1,-1,-1,7,0,1,1,1,East
11,7,East,-1,-1,-1,6,0,0,1,1,East
12,7,East,-1,-1,-1,5,0,0,1,1,East
13,7,East,-1,-1,-1,4,0,1,1,0,South
13,6,South,-1,-1,-1,5,1,1,0,0,South
